,№ обр.,"Глубина, м",№ слоя,Содержание,Вещество
0,1,0.27,1,1.64,С орг
1,2,0.59,2,0.13,С орг
2,3,0.73,3,0.14,С орг
3,4,1.0,3,0.12,С орг
4,5,1.35,3,0.13,С орг
5,6,1.67,3,0.12,С орг
6,7,2.26,3,0.12,С орг
7,8,2.4,4,0.1,С орг
8,9,2.7,4,0.09,С орг
9,10,2.9,5,0.11,С орг
10,11,3.13,5,0.13,С орг
11,12,3.33,5,0.14,С орг
12,13,3.55,6,0.13,С орг
13,14,3.78,6,0.13,С орг
14,15,4.14,6,0.17,С орг
15,16,4.32,6,0.17,С орг
16,17,4.42,6,0.19,С орг
17,18,4.49,7,0.3,С орг
18,19,4.57,7,0.29,С орг
19,20,4.69,8,0.23,С орг
20,21,4.8,8,0.33,С орг
21,22,4.97,8,0.3,С орг
22,23,5.06,8,0.31,С орг
23,24,5.21,9,0.46,С орг
24,25,5.37,10,0.44,С орг
25,26,5.48,10,0.28,С орг
26,27,5.55,10,0.6,С орг
27,28,5.64,11,0.24,С орг
28,29,5.78,11,0.25,С орг
29,30,5.85,12,0.13,С орг
30,31,5.92,12,0.11,С орг
31,32,5.95,12,0.29,С орг
32,33,6.01,12,0.23,С орг
33,34,6.24,13,0.09,С орг
34,35,6.5,14,0.07,С орг
35,1,0.27,1,2.83,Гумус
36,2,0.59,2,0.22,Гумус
37,3,0.73,3,0.24,Гумус
38,4,1.0,3,0.21,Гумус
39,5,1.35,3,0.22,Гумус
40,6,1.67,3,0.21,Гумус
41,7,2.26,3,0.21,Гумус
42,8,2.4,4,0.17,Гумус
43,9,2.7,4,0.16,Гумус
44,10,2.9,5,0.19,Гумус
45,11,3.13,5,0.22,Гумус
46,12,3.33,5,0.24,Гумус
47,13,3.55,6,0.22,Гумус
48,14,3.78,6,0.22,Гумус
49,15,4.14,6,0.29,Гумус
50,16,4.32,6,0.29,Гумус
51,17,4.42,6,0.33,Гумус
52,18,4.49,7,0.52,Гумус
53,19,4.57,7,0.5,Гумус
54,20,4.69,8,0.4,Гумус
55,21,4.8,8,0.57,Гумус
56,22,4.97,8,0.52,Гумус
57,23,5.06,8,0.53,Гумус
58,24,5.21,9,0.79,Гумус
59,25,5.37,10,0.76,Гумус
60,26,5.48,10,0.48,Гумус
61,27,5.55,10,1.03,Гумус
62,28,5.64,11,0.41,Гумус
63,29,5.78,11,0.43,Гумус
64,30,5.85,12,0.22,Гумус
65,31,5.92,12,0.19,Гумус
66,32,5.95,12,0.5,Гумус
67,33,6.01,12,0.4,Гумус
68,34,6.24,13,0.16,Гумус
69,35,6.5,14,0.12,Гумус
70,1,0.27,1,0.04,"СО2, %"
71,2,0.59,2,0.04,"СО2, %"
72,3,0.73,3,0.09,"СО2, %"
73,4,1.0,3,0.07,"СО2, %"
74,5,1.35,3,0.11,"СО2, %"
75,6,1.67,3,0.13,"СО2, %"
76,7,2.26,3,0.06,"СО2, %"
77,8,2.4,4,0.09,"СО2, %"
78,9,2.7,4,0.04,"СО2, %"
79,10,2.9,5,0.01,"СО2, %"
80,11,3.13,5,0.01,"СО2, %"
81,12,3.33,5,0.06,"СО2, %"
82,13,3.55,6,0.07,"СО2, %"
83,14,3.78,6,0.0,"СО2, %"
84,15,4.14,6,2.09,"СО2, %"
85,16,4.32,6,2.08,"СО2, %"
86,17,4.42,6,1.67,"СО2, %"
87,18,4.49,7,1.01,"СО2, %"
88,19,4.57,7,0.52,"СО2, %"
89,20,4.69,8,3.77,"СО2, %"
90,21,4.8,8,1.05,"СО2, %"
91,22,4.97,8,2.48,"СО2, %"
92,23,5.06,8,1.59,"СО2, %"
93,24,5.21,9,2.69,"СО2, %"
94,25,5.37,10,5.2,"СО2, %"
95,26,5.48,10,5.07,"СО2, %"
96,27,5.55,10,3.16,"СО2, %"
97,28,5.64,11,2.47,"СО2, %"
98,29,5.78,11,4.72,"СО2, %"
99,30,5.85,12,0.31,"СО2, %"
100,31,5.92,12,22.73,"СО2, %"
101,32,5.95,12,0.03,"СО2, %"
102,33,6.01,12,3.59,"СО2, %"
103,34,6.24,13,22.34,"СО2, %"
104,35,6.5,14,1.09,"СО2, %"
105,1,0.27,1,0.09,"Карб, %"
106,2,0.59,2,0.09,"Карб, %"
107,3,0.73,3,0.2,"Карб, %"
108,4,1.0,3,0.16,"Карб, %"
109,5,1.35,3,0.25,"Карб, %"
110,6,1.67,3,0.3,"Карб, %"
111,7,2.26,3,0.14,"Карб, %"
112,8,2.4,4,0.2,"Карб, %"
113,9,2.7,4,0.09,"Карб, %"
114,10,2.9,5,0.02,"Карб, %"
115,11,3.13,5,0.02,"Карб, %"
116,12,3.33,5,0.14,"Карб, %"
117,13,3.55,6,0.16,"Карб, %"
118,14,3.78,6,0.0,"Карб, %"
119,15,4.14,6,4.75,"Карб, %"
120,16,4.32,6,4.73,"Карб, %"
121,17,4.42,6,3.8,"Карб, %"
122,18,4.49,7,2.3,"Карб, %"
123,19,4.57,7,1.18,"Карб, %"
124,20,4.69,8,8.57,"Карб, %"
125,21,4.8,8,2.39,"Карб, %"
126,22,4.97,8,5.64,"Карб, %"
127,23,5.06,8,3.62,"Карб, %"
128,24,5.21,9,6.12,"Карб, %"
129,25,5.37,10,11.82,"Карб, %"
130,26,5.48,10,11.53,"Карб, %"
131,27,5.55,10,7.19,"Карб, %"
132,28,5.64,11,5.62,"Карб, %"
133,29,5.78,11,10.73,"Карб, %"
134,30,5.85,12,0.7,"Карб, %"
135,31,5.92,12,51.69,"Карб, %"
136,32,5.95,12,0.07,"Карб, %"
137,33,6.01,12,8.16,"Карб, %"
138,34,6.24,13,50.8,"Карб, %"
139,35,6.5,14,2.48,"Карб, %"
